DrawingName,Number,BaseNumber,Number_right,SerialNumber,EngineNumber,SalesModel,Unnamed: 0,model,part,title,description,description_right,item_number,image_url,url,description_cleaned,title_cleaned,description_cleaned_cleaned,title_cleaned_cleaned,cat_title_cleaned_cleaned_y,combined_name
128-F9250-2,128/H9642 1,128/H9642,B170-23-1,2271598,SB320/45034H00076195,3CX 14M2NM,1276,"Centremount. Direct Control. 2WS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, 3CXD14M3NM, 3CXD14L4CM, Centremount. Direct Control. AWS, E3CX T2, 3CXD14M2NM, 3CXG14L4CM, 3CXD14L2CM, 3CXD14M2CM, Centremount. Easycontrol. 2WS, Sideshift. Direct Control. AWS, 3CXB14M2CM, Sideshift. Easycontrol. 2WS",128/H9642 1,Решетка радиатора JCB 3cx,Grille Assembly 2WS,"Решетка радиатора маленькая со скосами JCB 3cx  радиатора без замка ,ключа и эмблемы JCB",A,https://jcbdetal.ru/images/thumbnails/1936/1584/detailed/4/128-H9642.jpeg,https://jcbdetal.ru/elementy-kuzova/reshetka-radiatora-jcb-3cx/,Grille Assembly,Решетка радиатора,Grille Assembly,Решетка радиатора,Решетка радиатора,Решетка радиатора Grille Assembly
561-60177-2,559/60229 4,559/60229,E465-3-4,2271598,SB320/45034H00076195,3CX 14M2NM,4158,"Sideshift. Easycontrol. AWS, Centremount. Direct Control. 2WS, Sideshift. Direct Control. AWS, Centremount. Direct Control. AWS, Centremount. Easycontrol. 2WS, Sideshift. Easycontrol. 2WS, Sideshift. Direct Control. 2WS, Centremount. Easycontrol. AWS",559/60229 4,Гидроцилиндр рукояти задней стрелы экскаватора - погрузчика JCB 4CX 3CX.,Ram dipper 100 X 60,Гидроцилиндр рукояти задней стрелы экскаватора - погрузчика JCB 4CX 3CX.,A,https://jcbdetal.ru/images/thumbnails/894/731/detailed/4/559-60229.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-rukoyati-zadney-strely-ekskavatora-pogruzchika-jcb-4cx-3cx./,Ram dipper,Гидроцилиндр рукояти задней стрелы а - а 4 3.,Ram dipper,Гидроцилиндр рукояти задней стрелы а - а 4 3.,Гидроцилиндр,Гидроцилиндр рукояти задней стрелы а - а 4 3. Ram dipper
162812,556/60417 2,556/60417,E470-1-2,2271598,SB320/45034H00076195,3CX 14M2NM,2384,"Sideshift. Direct Control. AWS, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. 2WS, Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS",556/60417 2,Гидроцилиндр телескопа JCB 3cx 4cx,Ram extending dipper 70 X 40,Гидроцилиндр рукояти экскаватора - погрузчика 3CX - 4CX. Служит для выдвижения телескопической рукояти на задней стреле. На машинах с фиксированной рукоятью не устанавливается.,A,https://jcbdetal.ru/images/thumbnails/427/350/detailed/4/556-60417.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-teleskopa-jcb-3cx-4cx/,Ram extending dipper 70 X 40,Гидроцилиндр телескопа,Ram extending dipper 70 X 40,Гидроцилиндр телескопа,Гидроцилиндр телескопа,Гидроцилиндр телескопа Ram extending dipper 70 X 40
128-14725-4,128/14725 6,128/14725,E490-4-6,2271598,SB320/45034H00076195,3CX 14M2NM,2561,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 4,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
128-14725-4,128/14725 6,128/14725,E490-4-6,2271598,SB320/45034H00076195,3CX 14M2NM,2566,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 6,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
781471,25/222578 3,25/222578,E310-3-3,2271598,SB320/45034H00076195,3CX 14M2NM,4092,"3CXS, Centremount. Easycontrol. AWS, 3C, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 3CX, 3CX-T-PC, 4CX-PC, 4CX, 215S, Centremount. Direct Control. AWS, 217-2, 215E, 214/3CX 14-PC, 3CX LWT (AA), 217S, Centremount. Direct Control. 2WS, 214/3CX 14, 215-4, 3CX-T, 3CXS-PC, 214-4, 217-4, 215-2, Sideshift. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, 214S, Sideshift. Direct Control. 2WS, 214e/3C 14, 214-2",E3-1-35,Передний распределитель,Valve 3 spool loader float,Передний распределитель от производителя JCB артикул 25/222578. Подходит для моделей JCB 4CX.,1,https://jcbdetal.ru/images/thumbnails/208/171/detailed/5/5121915468-min__1_.jpg,https://jcbdetal.ru/gidravlika/peredniy-raspredelitel/,Valve 3 spool loader float,распределитель,Valve 3 spool loader float,распределитель,распределитель,распределитель Valve 3 spool loader float
781471,25/222578 3,25/222578,E310-3-3,2271598,SB320/45034H00076195,3CX 14M2NM,4097,"3CXS, Centremount. Easycontrol. AWS, 3C, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 3CX, 3CX-T-PC, 4CX-PC, 4CX, 215S, Centremount. Direct Control. AWS, 217-2, 215E, 214/3CX 14-PC, 3CX LWT (AA), 217S, Centremount. Direct Control. 2WS, 214/3CX 14, 215-4, 3CX-T, 3CXS-PC, 214-4, 217-4, 215-2, Sideshift. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, 214S, Sideshift. Direct Control. 2WS, 214e/3C 14, 214-2",25/222578 3,Передний распределитель,Valve 3 spool loader float,Передний распределитель от производителя JCB артикул 25/222578. Подходит для моделей JCB 4CX.,1,https://jcbdetal.ru/images/thumbnails/208/171/detailed/5/5121915468-min__1_.jpg,https://jcbdetal.ru/gidravlika/peredniy-raspredelitel/,Valve 3 spool loader float,распределитель,Valve 3 spool loader float,распределитель,распределитель,распределитель Valve 3 spool loader float
559-60215-6,559/60215 6,559/60215,E445-1-4,2271598,SB320/45034H00076195,3CX 14M2NM,3799,"Sideshift. Direct Control. AWS, Sideshift. Easycontrol. 2WS, Centremount. Direct Control. AWS, Centremount. Easycontrol. 2WS, Sideshift. Direct Control. 2WS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS, 4CX14CM BR, Centremount. Direct Control. 2WS",559/60215 6,Гидроцилиндр поворота задней стрелы JCB 3cx 4cx,"Ram slew, 100x60 yellow",Гидроцилиндр поворота задней стрелыэкскаватора - погрузчика JCB 3CX - 4CX. Служит для поворота влево и вправо задней стрелы.,A,https://jcbdetal.ru/images/thumbnails/800/655/detailed/4/559-60215.jpeg,https://jcbdetal.ru/gidravlika/gidrocilindr-povorota-zadney-strely-jcb-3cx-4cx/,"Ram slew,",Гидроцилиндр поворота задней стрелы,"Ram slew,",Гидроцилиндр поворота задней стрелы,Гидроцилиндр поворота,"Гидроцилиндр поворота задней стрелы Ram slew,"
333-A2202-2,333/A2202 2,333/A2202,B250-4-11,2271598,SB320/45034H00076195,3CX 14M2NM,1592,"Sideshift. Easycontrol. AWS, 4CX14CM BR, Sideshift. Direct Control. 2WS, Sideshift. Direct Control. AWS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. 2WS, Centremount. Easycontrol. AWS, 3CXG14L4CM, Centremount. Direct Control. 2WS, Centremount. Direct Control. AWS",333/A2202 2,Заднее стекло JCB в сборе (Оригинал),Window Assembly Rear ABI,"Заднее стекло в сборе 333/A2202 от производителя JCB. Подходит для моделей JCB 3CX, JCB 4CX, JCB 5CX. Запчасть имеет аналоги 332/A0160, 332/F5272.",A,https://jcbdetal.ru/images/thumbnails/960/786/detailed/5/товар_im8o-hf.jpg,https://jcbdetal.ru/stekla/steklo-na-jcb-220/zadnee-steklo-v-sbore-original/,Window Assembly Rear ABI,Заднее стекло в сборе,Window Assembly Rear ABI,Заднее стекло в сборе,стекло,Заднее стекло в сборе Window Assembly Rear ABI
980-89993-3,980/89993 4 3CX,980/89993,A210-7-3,2271598,SB320/45034H00076195,3CX 14M2NM,3179,"BACKHOE ATTACHMENT, 4CXM (FRANCE), 90Z-1, 8052, .8060, 8060, Sideshift. Easycontrol. AWS, .8052, 65R-1, 214S/4CX 14-PC, BUCKET - GRADING, RIPPER TOOTH, 217/3CX 17, 3CXS, 85Z-1 T2, 3C, 86C-1 T2, 4CX-PC, 217S/4CX 17, 3C 14 (84HP), 215S/4CX 15, BUCKET - TAPERED, BUCKET - ROCK, 214S/4CX 14, 215S/4CX 15-PC, 4CX, Sideshift. Direct Control. 2WS, 214/3CX 14-PC, BUCKET - TILTING, 3CX, 86C-1 TAB2, 3CX-T, 217/3CX 17-PC, 3CX-T-PC, Sideshift. Easycontrol. 2WS, 86C-1, BUCKET - DITCHING, 215/3CX 15, BUCKET - JAW, 214e/3C-LL, 217S/4CX 17-PC, Centremount. Easycontrol. 2WS, BUCKET - GP, Sideshift. Direct Control. AWS, 214/3CX 14, Centremount. Direct Control. 2WS, 3C PLUS (91HP), 3CXS-PC, 85Z-1, 215/3CX 15-PC, BUCKET - HD, 214e/3C 14, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, 8085 ZTS ROW, 86C-1 TAB, 8085 ZTS USA, 100C-1, 67C-1",980/89993 4 UK,Ковш 600 мм 60см JCB 3cx 4cx,Bucket general purpose 600mm,Ковш JCB - 600 мм. - 980/89993,A,https://jcbdetal.ru/images/thumbnails/500/410/detailed/4/980-89993.jpg,https://jcbdetal.ru/navesnoe-oborudovanie/kovsh-jcb-3cx-4cx-600-mm-60sm/,Bucket general purpose 600mm,Ковш 600 мм,Bucket general purpose 600mm,Ковш 600 мм,Ковш,Ковш 600 мм Bucket general purpose 600mm
980-89993-3,980/89993 4 3CX,980/89993,A210-7-3,2271598,SB320/45034H00076195,3CX 14M2NM,3181,"BACKHOE ATTACHMENT, 4CXM (FRANCE), 90Z-1, 8052, .8060, 8060, Sideshift. Easycontrol. AWS, .8052, 65R-1, 214S/4CX 14-PC, BUCKET - GRADING, RIPPER TOOTH, 217/3CX 17, 3CXS, 85Z-1 T2, 3C, 86C-1 T2, 4CX-PC, 217S/4CX 17, 3C 14 (84HP), 215S/4CX 15, BUCKET - TAPERED, BUCKET - ROCK, 214S/4CX 14, 215S/4CX 15-PC, 4CX, Sideshift. Direct Control. 2WS, 214/3CX 14-PC, BUCKET - TILTING, 3CX, 86C-1 TAB2, 3CX-T, 217/3CX 17-PC, 3CX-T-PC, Sideshift. Easycontrol. 2WS, 86C-1, BUCKET - DITCHING, 215/3CX 15, BUCKET - JAW, 214e/3C-LL, 217S/4CX 17-PC, Centremount. Easycontrol. 2WS, BUCKET - GP, Sideshift. Direct Control. AWS, 214/3CX 14, Centremount. Direct Control. 2WS, 3C PLUS (91HP), 3CXS-PC, 85Z-1, 215/3CX 15-PC, BUCKET - HD, 214e/3C 14, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, 8085 ZTS ROW, 86C-1 TAB, 8085 ZTS USA, 100C-1, 67C-1",980/89993 3,Ковш 600 мм 60см JCB 3cx 4cx,Bucket general purpose 600mm,Ковш JCB - 600 мм. - 980/89993,A,https://jcbdetal.ru/images/thumbnails/500/410/detailed/4/980-89993.jpg,https://jcbdetal.ru/navesnoe-oborudovanie/kovsh-jcb-3cx-4cx-600-mm-60sm/,Bucket general purpose 600mm,Ковш 600 мм,Bucket general purpose 600mm,Ковш 600 мм,Ковш,Ковш 600 мм Bucket general purpose 600mm
980-89993-3,980/89993 4 3CX,980/89993,A210-7-3,2271598,SB320/45034H00076195,3CX 14M2NM,3183,"BACKHOE ATTACHMENT, 4CXM (FRANCE), 90Z-1, 8052, .8060, 8060, Sideshift. Easycontrol. AWS, .8052, 65R-1, 214S/4CX 14-PC, BUCKET - GRADING, RIPPER TOOTH, 217/3CX 17, 3CXS, 85Z-1 T2, 3C, 86C-1 T2, 4CX-PC, 217S/4CX 17, 3C 14 (84HP), 215S/4CX 15, BUCKET - TAPERED, BUCKET - ROCK, 214S/4CX 14, 215S/4CX 15-PC, 4CX, Sideshift. Direct Control. 2WS, 214/3CX 14-PC, BUCKET - TILTING, 3CX, 86C-1 TAB2, 3CX-T, 217/3CX 17-PC, 3CX-T-PC, Sideshift. Easycontrol. 2WS, 86C-1, BUCKET - DITCHING, 215/3CX 15, BUCKET - JAW, 214e/3C-LL, 217S/4CX 17-PC, Centremount. Easycontrol. 2WS, BUCKET - GP, Sideshift. Direct Control. AWS, 214/3CX 14, Centremount. Direct Control. 2WS, 3C PLUS (91HP), 3CXS-PC, 85Z-1, 215/3CX 15-PC, BUCKET - HD, 214e/3C 14, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, 8085 ZTS ROW, 86C-1 TAB, 8085 ZTS USA, 100C-1, 67C-1",980/89993 4 3CX,Ковш 600 мм 60см JCB 3cx 4cx,Bucket general purpose 600mm,Ковш JCB - 600 мм. - 980/89993,A,https://jcbdetal.ru/images/thumbnails/500/410/detailed/4/980-89993.jpg,https://jcbdetal.ru/navesnoe-oborudovanie/kovsh-jcb-3cx-4cx-600-mm-60sm/,Bucket general purpose 600mm,Ковш 600 мм,Bucket general purpose 600mm,Ковш 600 мм,Ковш,Ковш 600 мм Bucket general purpose 600mm
332-F5436-1,332/F5436 1,332/F5436,B120-10-1,2338286,SL320/40372U1467714,535V125,4001,"540-140, 531-70WM, 531-70, 560-80, 535-140, 550-170, .536-60, .531-70, 535-140 HiViZ, .535-125 HiViZ, 526-56, 536-60DS, .541-70, 540-170, 533-105, .550-140, 536-70AG+, .535-95, .540-140, 541-70, 535-125 HiViZ, 550-80, .550-170, 535P125, 536-60, 540-200, .533-105, 550-140, 535-95, .535-140 HiViZ, 541-70WM",332/F5436 1,Бак топливный,Tank Fuel ABI,,1,https://jcbdetal.ru/images/thumbnails/1600/1310/detailed/6/789e5f05-5129-48bd-ae15-73202848b494.jpeg,https://jcbdetal.ru/toplivnaya-sistema/toplivnyy-bak-jcb/bak-toplivnyy-plastikovyy-jcb/bak-toplivnyy-ru/,Tank Fuel ABI,Бак топливный,Tank Fuel ABI,Бак топливный,Бак топливный,Бак топливный Tank Fuel ABI
332-F5436-1,332/F5436 1,332/F5436,B120-10-1,2344638,SH320/40533U1037514,541-70,4001,"540-140, 531-70WM, 531-70, 560-80, 535-140, 550-170, .536-60, .531-70, 535-140 HiViZ, .535-125 HiViZ, 526-56, 536-60DS, .541-70, 540-170, 533-105, .550-140, 536-70AG+, .535-95, .540-140, 541-70, 535-125 HiViZ, 550-80, .550-170, 535P125, 536-60, 540-200, .533-105, 550-140, 535-95, .535-140 HiViZ, 541-70WM",332/F5436 1,Бак топливный,Tank Fuel ABI,,1,https://jcbdetal.ru/images/thumbnails/1600/1310/detailed/6/789e5f05-5129-48bd-ae15-73202848b494.jpeg,https://jcbdetal.ru/toplivnaya-sistema/toplivnyy-bak-jcb/bak-toplivnyy-plastikovyy-jcb/bak-toplivnyy-ru/,Tank Fuel ABI,Бак топливный,Tank Fuel ABI,Бак топливный,Бак топливный,Бак топливный Tank Fuel ABI
458-M1916-1,458/M1916 1,458/M1916,F250-1-1,2344638,SH320/40533U1037514,541-70,1398,"535-95, 540-200, SD70, 550-170, 533-105, SD80, 541-70M, PD70, PD40, 526-56, 540-170, SD55, PD87, 541-70WM, 550-140, 536-60DS, 536-70AG+, SD40, 531-70WM, SD88, 540-140",458/M1916 1,Дифференциал,Differential Assembly,"Дифференциал 458/M1916. Подходит для моделей JCB 456, JCB 531-70, JCB 541-70. Запчасть имеет аналоги 458/10219, 448/56770.",A,https://jcbdetal.ru/images/thumbnails/350/287/detailed/5/WhatsApp_Image_2021-05-28_at_12.01.23-min_curv-14.jpeg,https://jcbdetal.ru/transmissiya/differencial-jcb/differencial/,Differential Assembly,Дифференциал,Differential Assembly,Дифференциал,Дифференциал,Дифференциал Differential Assembly
332-C2405-2,332/D4864 2,332/D4864,E330-5-1,2344638,SH320/40533U1037514,541-70,1003,".535-95 SWAY, 536-70, 527-58 T3, .533-105, 533-105, 541-70 SWAY, 550-80, 527-58 T3 FS, 506C HL, 535-95, 520-50 4WS, .536-70, 535P125, .531-70 SWAY, .536-60, .535-95, .541-70 SWAY, 541-70M, .531-70, 506C, 536-70AG+, 508C, 531-70WM, 535-140, 541-70WM, 520-40 4WS, 531-70, 535-95 SWAY, 536-60, 536-60DS, .535-125 HiViZ, 560-80, .541-70, 535-140 HiViZ, 541-70, .535-140 HiViZ, 527-58WM, 535-125 HiViZ, 526-56, 527-55 4WS, 531-70 SWAY, 524-50 4WS",332/D4864 2,Клапан,Valve Steer + Shocks,"Клапан артикул 332/D4864. Подходит для моделей JCB 527-55, JCB 527-58, JCB 531-70, JCB 541-70.",A,,https://jcbdetal.ru/remkomplekty/klapan-ru/,Valve,Клапан,Valve,Клапан,Клапан,Клапан Valve
332-C2405-2,332/D4864 2,332/D4864,E330-5-1,2344638,SH320/40533U1037514,541-70,1004,".535-95 SWAY, 536-70, 527-58 T3, .533-105, 533-105, 541-70 SWAY, 550-80, 527-58 T3 FS, 506C HL, 535-95, 520-50 4WS, .536-70, 535P125, .531-70 SWAY, .536-60, .535-95, .541-70 SWAY, 541-70M, .531-70, 506C, 536-70AG+, 508C, 531-70WM, 535-140, 541-70WM, 520-40 4WS, 531-70, 535-95 SWAY, 536-60, 536-60DS, .535-125 HiViZ, 560-80, .541-70, 535-140 HiViZ, 541-70, .535-140 HiViZ, 527-58WM, 535-125 HiViZ, 526-56, 527-55 4WS, 531-70 SWAY, 524-50 4WS",332/D4864 2,Клапан,Valve Steer + Shocks,"Клапан артикул 332/D4864. Подходит для моделей JCB 527-55, JCB 527-58, JCB 531-70, JCB 541-70.",A,https://jcbdetal.ru/images/thumbnails/624/510/detailed/5/Снимок-min_1rhx-4j.JPG,https://jcbdetal.ru/gidravlika/klapan-ru/,Valve,Клапан,Valve,Клапан,Клапан,Клапан Valve
448-00041-3,458/M1916 3,458/M1916,F150-30-1,2344638,SH320/40533U1037514,541-70,1395,"535-95, 540-200, SD70, 550-170, 533-105, SD80, 541-70M, PD70, PD40, 526-56, 540-170, SD55, PD87, 541-70WM, 550-140, 536-60DS, 536-70AG+, SD40, 531-70WM, SD88, 540-140",458/M1916 3,Дифференциал,Differential Assembly,"Дифференциал 458/M1916. Подходит для моделей JCB 456, JCB 531-70, JCB 541-70. Запчасть имеет аналоги 458/10219, 448/56770.",A,https://jcbdetal.ru/images/thumbnails/350/287/detailed/5/WhatsApp_Image_2021-05-28_at_12.01.23-min_curv-14.jpeg,https://jcbdetal.ru/transmissiya/differencial-jcb/differencial/,Differential Assembly,Дифференциал,Differential Assembly,Дифференциал,Дифференциал,Дифференциал Differential Assembly
332-F5436-1,332/F5436 1,332/F5436,B120-1-1,2181009,SB320/40232U3678413,550-170,4001,"540-140, 531-70WM, 531-70, 560-80, 535-140, 550-170, .536-60, .531-70, 535-140 HiViZ, .535-125 HiViZ, 526-56, 536-60DS, .541-70, 540-170, 533-105, .550-140, 536-70AG+, .535-95, .540-140, 541-70, 535-125 HiViZ, 550-80, .550-170, 535P125, 536-60, 540-200, .533-105, 550-140, 535-95, .535-140 HiViZ, 541-70WM",332/F5436 1,Бак топливный,Tank Fuel ABI,,1,https://jcbdetal.ru/images/thumbnails/1600/1310/detailed/6/789e5f05-5129-48bd-ae15-73202848b494.jpeg,https://jcbdetal.ru/toplivnaya-sistema/toplivnyy-bak-jcb/bak-toplivnyy-plastikovyy-jcb/bak-toplivnyy-ru/,Tank Fuel ABI,Бак топливный,Tank Fuel ABI,Бак топливный,Бак топливный,Бак топливный Tank Fuel ABI
459-M5104-4,459/M6678 3,459/M6678,F650-20-1,2354158,SJ320/40920U1494715,541-70AG+,2840,"526-56, Sideshift. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, Sideshift. Direct Control. AWS, SS500, SS600, Centremount. Easycontrol. AWS, TM320S, TM320WM, 550-140, 560-80, 4CXM, SS620, 550-80, 550-170, 531-70WM, .531-70, 531-70, Centremount. Easycontrol. 2WS, HS750, Centremount. Direct Control. AWS, 535-95, 540-170, TM320, SS750, 535-140, TG300, 540-140, 536-70AG+, 536-60DS, Sideshift. Direct Control. 2WS, 535P125, PS750, 4CX14CM BR, 541-70WM, SS700, 533-105, TM320 T4F, 4CXM-WW, PS720, 540-200, 541-70, PS760, .541-70, PS740, Centremount. Direct Control. 2WS",459/M6678 3,Распределитель АКПП,Valve block assembly,"Блок 459/M6678 от производителя JCB. Подходит для моделей JCB 4CX, JCB 531-70.",A,https://jcbdetal.ru/images/thumbnails/960/786/detailed/5/товар_1rtp-ot.jpg,https://jcbdetal.ru/transmissiya/raspredelitel-akpp/,Valve block assembly,Распределитель АКПП,Valve block assembly,Распределитель АКПП,Распределитель АКПП,Распределитель АКПП Valve block assembly
458-M1916-1,458/M1916 1,458/M1916,F250-1-1,2354158,SJ320/40920U1494715,541-70AG+,1398,"535-95, 540-200, SD70, 550-170, 533-105, SD80, 541-70M, PD70, PD40, 526-56, 540-170, SD55, PD87, 541-70WM, 550-140, 536-60DS, 536-70AG+, SD40, 531-70WM, SD88, 540-140",458/M1916 1,Дифференциал,Differential Assembly,"Дифференциал 458/M1916. Подходит для моделей JCB 456, JCB 531-70, JCB 541-70. Запчасть имеет аналоги 458/10219, 448/56770.",A,https://jcbdetal.ru/images/thumbnails/350/287/detailed/5/WhatsApp_Image_2021-05-28_at_12.01.23-min_curv-14.jpeg,https://jcbdetal.ru/transmissiya/differencial-jcb/differencial/,Differential Assembly,Дифференциал,Differential Assembly,Дифференциал,Дифференциал,Дифференциал Differential Assembly
332-C2405-2,332/D4864 2,332/D4864,E330-5-1,2354158,SJ320/40920U1494715,541-70AG+,1003,".535-95 SWAY, 536-70, 527-58 T3, .533-105, 533-105, 541-70 SWAY, 550-80, 527-58 T3 FS, 506C HL, 535-95, 520-50 4WS, .536-70, 535P125, .531-70 SWAY, .536-60, .535-95, .541-70 SWAY, 541-70M, .531-70, 506C, 536-70AG+, 508C, 531-70WM, 535-140, 541-70WM, 520-40 4WS, 531-70, 535-95 SWAY, 536-60, 536-60DS, .535-125 HiViZ, 560-80, .541-70, 535-140 HiViZ, 541-70, .535-140 HiViZ, 527-58WM, 535-125 HiViZ, 526-56, 527-55 4WS, 531-70 SWAY, 524-50 4WS",332/D4864 2,Клапан,Valve Steer + Shocks,"Клапан артикул 332/D4864. Подходит для моделей JCB 527-55, JCB 527-58, JCB 531-70, JCB 541-70.",A,,https://jcbdetal.ru/remkomplekty/klapan-ru/,Valve,Клапан,Valve,Клапан,Клапан,Клапан Valve
332-C2405-2,332/D4864 2,332/D4864,E330-5-1,2354158,SJ320/40920U1494715,541-70AG+,1004,".535-95 SWAY, 536-70, 527-58 T3, .533-105, 533-105, 541-70 SWAY, 550-80, 527-58 T3 FS, 506C HL, 535-95, 520-50 4WS, .536-70, 535P125, .531-70 SWAY, .536-60, .535-95, .541-70 SWAY, 541-70M, .531-70, 506C, 536-70AG+, 508C, 531-70WM, 535-140, 541-70WM, 520-40 4WS, 531-70, 535-95 SWAY, 536-60, 536-60DS, .535-125 HiViZ, 560-80, .541-70, 535-140 HiViZ, 541-70, .535-140 HiViZ, 527-58WM, 535-125 HiViZ, 526-56, 527-55 4WS, 531-70 SWAY, 524-50 4WS",332/D4864 2,Клапан,Valve Steer + Shocks,"Клапан артикул 332/D4864. Подходит для моделей JCB 527-55, JCB 527-58, JCB 531-70, JCB 541-70.",A,https://jcbdetal.ru/images/thumbnails/624/510/detailed/5/Снимок-min_1rhx-4j.JPG,https://jcbdetal.ru/gidravlika/klapan-ru/,Valve,Клапан,Valve,Клапан,Клапан,Клапан Valve
448-00041-3,458/M1916 3,458/M1916,F150-30-1,2354158,SJ320/40920U1494715,541-70AG+,1395,"535-95, 540-200, SD70, 550-170, 533-105, SD80, 541-70M, PD70, PD40, 526-56, 540-170, SD55, PD87, 541-70WM, 550-140, 536-60DS, 536-70AG+, SD40, 531-70WM, SD88, 540-140",458/M1916 3,Дифференциал,Differential Assembly,"Дифференциал 458/M1916. Подходит для моделей JCB 456, JCB 531-70, JCB 541-70. Запчасть имеет аналоги 458/10219, 448/56770.",A,https://jcbdetal.ru/images/thumbnails/350/287/detailed/5/WhatsApp_Image_2021-05-28_at_12.01.23-min_curv-14.jpeg,https://jcbdetal.ru/transmissiya/differencial-jcb/differencial/,Differential Assembly,Дифференциал,Differential Assembly,Дифференциал,Дифференциал,Дифференциал Differential Assembly
459-M5104-4,459/M6678 3,459/M6678,F650-3-3,2268411,SH320/40596U2949014,3CX 14M4NM,2840,"526-56, Sideshift. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, Sideshift. Direct Control. AWS, SS500, SS600, Centremount. Easycontrol. AWS, TM320S, TM320WM, 550-140, 560-80, 4CXM, SS620, 550-80, 550-170, 531-70WM, .531-70, 531-70, Centremount. Easycontrol. 2WS, HS750, Centremount. Direct Control. AWS, 535-95, 540-170, TM320, SS750, 535-140, TG300, 540-140, 536-70AG+, 536-60DS, Sideshift. Direct Control. 2WS, 535P125, PS750, 4CX14CM BR, 541-70WM, SS700, 533-105, TM320 T4F, 4CXM-WW, PS720, 540-200, 541-70, PS760, .541-70, PS740, Centremount. Direct Control. 2WS",459/M6678 3,Распределитель АКПП,Valve block assembly,"Блок 459/M6678 от производителя JCB. Подходит для моделей JCB 4CX, JCB 531-70.",A,https://jcbdetal.ru/images/thumbnails/960/786/detailed/5/товар_1rtp-ot.jpg,https://jcbdetal.ru/transmissiya/raspredelitel-akpp/,Valve block assembly,Распределитель АКПП,Valve block assembly,Распределитель АКПП,Распределитель АКПП,Распределитель АКПП Valve block assembly
