DrawingName,Number,BaseNumber,Number_right,SerialNumber,EngineNumber,SalesModel,Unnamed: 0,model,part,title,description,description_right,item_number,image_url,url,description_cleaned,title_cleaned,description_cleaned_cleaned,title_cleaned_cleaned,cat_title_cleaned_cleaned_y,combined_name
559-60215-6,559/60215 6,559/60215,E445-1-4,2443984,SJ320/41383U1308315,3CX 14HFWA,3799,"Sideshift. Direct Control. AWS, Sideshift. Easycontrol. 2WS, Centremount. Direct Control. AWS, Centremount. Easycontrol. 2WS, Sideshift. Direct Control. 2WS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS, 4CX14CM BR, Centremount. Direct Control. 2WS",559/60215 6,Гидроцилиндр поворота задней стрелы JCB 3cx 4cx,"Ram slew, 100x60 yellow",Гидроцилиндр поворота задней стрелыэкскаватора - погрузчика JCB 3CX - 4CX. Служит для поворота влево и вправо задней стрелы.,A,https://jcbdetal.ru/images/thumbnails/800/655/detailed/4/559-60215.jpeg,https://jcbdetal.ru/gidravlika/gidrocilindr-povorota-zadney-strely-jcb-3cx-4cx/,"Ram slew,",Гидроцилиндр поворота задней стрелы,"Ram slew,",Гидроцилиндр поворота задней стрелы,Гидроцилиндр поворота,"Гидроцилиндр поворота задней стрелы Ram slew,"
332-G5722-1,20/925784 1,20/925784,E220-2-1,2443984,SJ320/41383U1308315,3CX 14HFWA,1185,"Centremount. Direct Control. 2WS, 217S/4CX 17-PC, Sideshift. Direct Control. AWS, 4CXM, 214e/3C 14, 217/3CX 17-PC, Sideshift. Direct Control. 2WS, 4CX, 4CXM-WW, Centremount. Direct Control. AWS, 215/3CX 15, 3C, 3CXS-PC, 217/3CX 17, 3CX, 214S/4CX 14-PC, Sideshift. Easycontrol. AWS, 214/3CX 14, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, 215S/4CX 15-PC, 215/3CX 15-PC, 217S/4CX 17, 3CX-T-PC, Centremount. Easycontrol. 2WS, 4CX-PC, 214e/3C-LL, 3CX-T, 215S/4CX 15, 214/3CX 14-PC, 3CXS, 214S/4CX 14",20/925784 1,Насос гидравлический,"Pump piston variable flow, 74cc/rev",Насос гидравлический от производителя JCB артикул 20/925784.,A,https://jcbdetal.ru/images/thumbnails/575/470/detailed/5/20-925784-350x470-min.png,https://jcbdetal.ru/gidravlika/gidronasosy-jcb/nasos-gidravlicheskiy/,"Pump piston variable flow, 74cc/rev",Насос гидравлический,"Pump piston variable flow, 74cc/rev",Насос гидравлический,Насос гидравлический,"Насос гидравлический Pump piston variable flow, 74cc/rev"
333-C3871-1,333/C3871 1,333/C3871,E390-27-1,2443984,SJ320/41383U1308315,3CX 14HFWA,2401,"Centremount. Easycontrol. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Sideshift. Easycontrol. AWS, Centremount. Direct Control. 2WS, Sideshift. Direct Control. 2WS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. AWS",333/C3871 1,Клапан гидравлический соленоидный JCB 3cx 4cx 5cx (ОРИГИНАЛ),Valve solenoid,Клапан гидравлический соленоидный от производителя JCB артикул 333/C3871. Подходит для моделей JCB Hydradig.,A,https://jcbdetal.ru/images/thumbnails/1262/1032/detailed/5/333-C3871.jpg,https://jcbdetal.ru/gidravlika/klapan-gidravlicheskiy-solenoidnyy-jcb-3cx-4cx-5cx-original/,Valve solenoid,Клапан гидравлический соленоидный,Valve solenoid,Клапан гидравлический соленоидный,Клапан гидравлический соленоидный,Клапан гидравлический соленоидный Valve solenoid
333-C3871-1,333/C3871 1,333/C3871,E390-27-1,2443984,SJ320/41383U1308315,3CX 14HFWA,2402,"Centremount. Easycontrol. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Sideshift. Easycontrol. AWS, Centremount. Direct Control. 2WS, Sideshift. Direct Control. 2WS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. AWS",333/C3871 1,Клапан гидравлический соленоидный JCB 3cx 4cx 5cx (ОРИГИНАЛ),Valve solenoid,Клапан гидравлический соленоидный от производителя JCB артикул 333/C3871. Подходит для моделей JCB Hydradig.,A,https://jcbdetal.ru/images/thumbnails/1262/1032/detailed/5/333-C3871.jpg,https://jcbdetal.ru/gidravlika/klapan-gidravlicheskiy-solenoidnyy-jcb-3cx-4cx-5cx-original/,Valve solenoid,Клапан гидравлический соленоидный,Valve solenoid,Клапан гидравлический соленоидный,Клапан гидравлический соленоидный,Клапан гидравлический соленоидный Valve solenoid
128-14725-4,128/14725 4,128/14725,E490-4-4,2018879,SD320/40347U2103311,3CXSM 4T,2561,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 4,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
128-14725-4,128/14725 4,128/14725,E490-4-4,2018879,SD320/40347U2103311,3CXSM 4T,2566,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 6,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
128-G2288-1,128/G2288 2,128/G2288,B170-11-3,2018879,SD320/40347U2103311,3CXSM 4T,2375,"Centremount. Direct Control. 2WS, 3CXD14L2CM, Sideshift. Direct Control. 2WS, Sideshift. Direct Control. AWS, 3CXD14M3NM, Centremount. Direct Control. AWS, 4CX14CM BR, 3CXG14L4CM, 3CXD14M2CM, Sideshift. Easycontrol. 2WS, 3CXD14L4CM, Centremount. Easycontrol. 2WS, 3CXD14M2NM, 3CXB14M2CM, E3CX T2, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS",128/G2288 2,Капот,Bonnet Assembly ABI,"Капот артикул 128/G2288. Подходит для моделей  JCB 3CX, JCB 4CX.",A,https://jcbdetal.ru/images/thumbnails/3608/2952/detailed/5/3b12b1f2-c6bc-11ea-937e-c8600076e4c1_20ec5de4-cb16-11ea-82fd-201a0621aa27-min.jpeg,https://jcbdetal.ru/elementy-kuzova/kapot/,Bonnet Assembly ABI,Капот,Bonnet Assembly ABI,Капот,Капот,Капот Bonnet Assembly ABI
128-P3561-1,128/P3561 1,128/P3561,B260-103-1,2018879,SD320/40347U2103311,3CXSM 4T,792,"Centremount. Easycontrol. 2WS, Sideshift. Easycontrol. AWS, 4CX14CM BR, Sideshift. Direct Control. AWS, Sideshift. Easycontrol. 2WS, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. 2WS",128/P3561 1,Сиденье оператора JCB,"Seat ABI cloth, suspension","Сиденье оператора в сборе артикул 128/P3561. Подходит для моделей JCB 3CX, JCB 4CX.",1,https://jcbdetal.ru/images/thumbnails/751/614/detailed/5/128_P3561.png,https://jcbdetal.ru/elementy-kuzova/kabina-jcb/sidene-operatora-jcb/,"Seat ABI cloth, suspension",Сиденье оператора,"Seat ABI cloth, suspension",Сиденье оператора,Сиденье оператора,"Сиденье оператора Seat ABI cloth, suspension"
559-60215-6,559/60215 6,559/60215,E445-1-4,2018879,SD320/40347U2103311,3CXSM 4T,3799,"Sideshift. Direct Control. AWS, Sideshift. Easycontrol. 2WS, Centremount. Direct Control. AWS, Centremount. Easycontrol. 2WS, Sideshift. Direct Control. 2WS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS, 4CX14CM BR, Centremount. Direct Control. 2WS",559/60215 6,Гидроцилиндр поворота задней стрелы JCB 3cx 4cx,"Ram slew, 100x60 yellow",Гидроцилиндр поворота задней стрелыэкскаватора - погрузчика JCB 3CX - 4CX. Служит для поворота влево и вправо задней стрелы.,A,https://jcbdetal.ru/images/thumbnails/800/655/detailed/4/559-60215.jpeg,https://jcbdetal.ru/gidravlika/gidrocilindr-povorota-zadney-strely-jcb-3cx-4cx/,"Ram slew,",Гидроцилиндр поворота задней стрелы,"Ram slew,",Гидроцилиндр поворота задней стрелы,Гидроцилиндр поворота,"Гидроцилиндр поворота задней стрелы Ram slew,"
128-G6537-3,128/G6537 3,128/G6537,B230-101-3,2018879,SD320/40347U2103311,3CXSM 4T,1073,"Sideshift. Direct Control. AWS, Sideshift. Direct Control. 2WS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. 2WS, Centremount. Easycontrol. AWS, Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, 4CX14CM BR, Centremount. Direct Control. AWS",128/G6537 3,"Крыша кабины желтая,черная  JCB 3cx 4cx 5cx (ОРИГИНАЛ)","Roof yellow, ROW ABI","Крыша кабины от производителя JCB артикул 128/G6537. Подходит для моделей JCB 3CX, JCB 4CX.",A,https://jcbdetal.ru/images/thumbnails/734/600/detailed/4/128-G6537.jpg,https://jcbdetal.ru/elementy-kuzova/kabina-jcb/krysha-kabiny-zheltaya-chernaya-jcb-3cx-4cx-5cx-original/,"Roof yellow, ROW ABI","Крыша кабины желтая,черная","Roof yellow, ROW ABI","Крыша кабины желтая,черная",Крыша желтаячерная,"Крыша кабины желтая,черная Roof yellow, ROW ABI"
