CatalogID,ProductionDate,ReleaseDate,Number,ProductGroupID
63285D00-4704-48AD-A883-113173D45F95,2015-04-16 00:00:00,2010-10-07 17:47:11,9822/0270,
66D4B64A-EE67-431E-888A-1133B0D0AD16,,2012-02-16 00:00:00,9802/5600,59DE41B8-D56A-401C-BE0E-39CA6404D531
8B0F24CF-0371-46BB-8F22-113AB9647CB0,,2006-10-31 00:00:00,9812/0080,89FB1C3F-5F21-4FE9-A339-341AA83A5284
F2AED1A6-4840-47D8-AA59-114BBC6F4957,2003-02-17 00:00:00,1996-03-11 00:00:00,9802/7910,E6206E74-E250-492B-A203-F69326C31B4B
C1130648-F91E-4413-BD79-1174DB6DF873,,2014-09-01 09:48:37,9812/92230,FB1CD1A5-9047-4335-89DA-DF8139EC8172
D39F8BB0-5C47-4940-A6F2-11EA44BC24B1,,2010-03-15 17:21:53,9822/0115,
9BB19CAC-9CA4-4A80-A9EC-11EE48D75E0C,1989-01-31 00:00:00,1987-05-28 00:00:00,9802/7650,A2E464FA-1289-481A-B439-A6CBF5F0D0E5
46C71FB3-FA04-4785-A3EF-11FDDD923F83,2006-01-10 13:14:46,2002-12-13 00:00:00,9802/2680,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
25D1B297-8AB8-4072-8E1E-1207A148A483,,2013-08-30 08:00:03,9822/0750,B52A9096-4EFA-4004-BC6C-D0EA1E0BB202
6B2DB8BC-7363-4EE1-9535-12087B906ED3,1997-04-30 12:33:17,1994-09-06 00:00:00,9802/9510,89FB1C3F-5F21-4FE9-A339-341AA83A5284
E2432CC4-AC81-4D2D-A50A-1228BB2B58A4,,,9802/9935,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
0B78923E-333A-4897-BA90-1291BB165473,,2007-06-21 00:00:00,9812/3100,2675503F-282C-415E-875F-69B0A1EE808E
E68DFF19-6F82-4961-B463-12D9D086000B,,,PT/4860,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
589BB64C-A6CB-4EB9-B467-1300D1718290,2008-01-31 12:06:22,2004-04-23 00:00:00,9802/2580,9C06D500-E638-4C55-B45D-DC52975F97DC
ADD255BA-1630-49F5-A3FA-134EFEA06B4B,,2014-12-08 10:23:57,9822/1005,C95AB666-6E0A-413B-AEB4-27B07F6075BE
21792F92-49C2-4881-886A-135D00C9E631,,2000-02-18 00:00:00,9812/0010,89FB1C3F-5F21-4FE9-A339-341AA83A5284
0E5597AD-860D-4C08-8806-136C5DB41C6E,1995-11-23 00:00:00,1991-11-11 00:00:00,9802/5800,59DE41B8-D56A-401C-BE0E-39CA6404D531
ED887FA5-91A5-4F7E-8D5E-13732A7434D6,,2013-03-21 06:14:46,9822/0645,2B0BB246-BF29-4B57-B9DC-62A80A3C112A
D99FF943-0BBE-495F-8A5A-143786BA7731,2012-04-30 00:00:00,2008-06-01 00:00:00,9812/7500,
CD54AFC0-2169-4C5C-9502-1441C48D136C,,2010-10-01 15:54:51,9812/5091,
FBFC7C70-C35F-4CCF-8ED6-14716B04CDCA,2008-09-26 00:00:00,2002-11-21 00:00:00,9802/6300,586CAA7A-57D5-41CB-A5B2-3A602A5DBEAC
D9ADBDF0-B733-41EC-91F8-14759C06BC81,,2014-11-28 05:52:34,9822/0970,59DE41B8-D56A-401C-BE0E-39CA6404D531
9C844AE5-5D97-44E0-9127-147DC8E58D27,,2015-01-13 15:09:51,9812/3300,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
54E62BC9-8261-48AA-97ED-14AD155626AB,2007-05-24 15:41:24,2006-03-31 00:00:00,9812/0040,89FB1C3F-5F21-4FE9-A339-341AA83A5284
72DA74CD-516D-4AD1-955B-150220198D39,2010-11-25 00:00:00,2006-05-18 00:00:00,9802/6730,CBBC753F-26FB-439E-99C7-99F7067409EC
D8F5F013-F3C5-4FC5-BC67-1506AF39178C,,2008-06-01 00:00:00,9802/4930,BF54B40E-231F-4D60-A128-279000C1D624
139E6183-7D16-48D0-B6B5-15816D081B30,,2015-06-18 18:44:52,9822/1030,2B0BB246-BF29-4B57-B9DC-62A80A3C112A
98A4CE22-9ABB-4ACB-9B34-15E087B336E8,2001-02-27 11:37:53,1997-04-28 00:00:00,9802/2450,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
AC4B57ED-F186-493F-9044-15E566FF70F0,2012-04-30 00:00:00,2008-01-01 00:00:00,9812/7550,
E5C6036B-650E-4A03-8082-1616CB1A93AF,2005-12-07 09:36:01,2003-06-16 00:00:00,9802/7060,E6206E74-E250-492B-A203-F69326C31B4B
94632251-375E-4612-80A5-16F57C2FDE05,,2009-01-01 15:53:15,9812/5080,
756EBA75-A5C6-4552-8458-17BFDB844342,2006-11-24 12:25:36,2003-01-30 00:00:00,9802/2645,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
2E33ACA0-D032-4AB0-8AD6-17C6B0F4ACA6,2001-07-17 16:54:59,1995-06-13 00:00:00,9802/4510,C6B07E15-C6D7-4F64-B159-DE57C9118FFF
1597239A-1C7E-4D5F-B7DF-17DDADB26D6D,2006-02-25 00:00:00,2002-03-28 00:00:00,9802/5920,59DE41B8-D56A-401C-BE0E-39CA6404D531
5CEEEA18-BECC-4F84-A82A-1883CC59C797,2000-04-27 00:00:00,1997-07-28 00:00:00,9802/5710,59DE41B8-D56A-401C-BE0E-39CA6404D531
8000E1AE-7C0E-4148-8E60-18D0E948D816,1994-10-27 12:39:04,1990-10-31 00:00:00,9802/9600,89FB1C3F-5F21-4FE9-A339-341AA83A5284
243C5622-E13D-45EC-B0CB-18E573B28799,1997-03-27 11:19:13,1994-02-09 00:00:00,9802/2310,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
380BB52E-AEF8-4C1F-B36F-19105B9189B6,1991-09-06 11:31:27,1988-02-18 00:00:00,9802/8560,89FB1C3F-5F21-4FE9-A339-341AA83A5284
97B0706D-6F0F-4EE8-91D0-199690E51FC6,,2010-07-01 12:16:12,9812/4170,
0E18D0D4-9755-4A4A-AC3E-19B1D6494D91,2007-06-29 00:00:00,2004-01-23 00:00:00,9802/4560,C6B07E15-C6D7-4F64-B159-DE57C9118FFF
A8CA91D9-5AAD-42CC-8428-1A5574B38AB6,,2008-05-01 00:00:00,9802/4840,8ACF0782-5046-4AA2-ABB2-67AFC900A318
1B8130ED-CD6F-4BEC-90D8-1A61196B8DFE,,2011-08-18 13:09:09,9822/0235,
